id;fopt;fhist;precision;runs
f1_1_2_RS-1000-1;79.48779344465792;79.48;9.805061124703611E-5;1000
f1_1_2_GD-1000-1-1.0E-5;79.48000000005;79.48;6.290109069962874E-13;13
f1_1_2_NGD-1000-1-1-1.0E-5;79.48000000005;79.48;6.290109069962874E-13;13
f1_1_2_NSGA2-10-1-1-1000;98.94215759612369;79.48;0.21815852759922585;1001
f1_1_2_NSGA2-10-1-1000-100-0.2;79.5913645275373;79.48;0.00140018321799222;1001
f1_1_2_GBPSO-100-10;79.48000000004326;79.48;5.442607165710005E-13;1000
f1_2_2_RS-1000-1;394.61248277149144;394.48;3.3578515670587084E-4;1000
f1_2_2_GD-1000-1-1.0E-5;394.48000000005015;394.48;1.2709363069161804E-13;13
f1_2_2_NGD-1000-1-1-1.0E-5;394.4800000000499;394.48;1.2651724234381028E-13;13
f1_2_2_NSGA2-10-1-1-1000;410.86811141707983;394.48;0.04069820537169575;1001
f1_2_2_NSGA2-10-1-1000-100-0.2;400.1487073979543;394.48;0.014267562561429989;1001
f1_2_2_GBPSO-100-10;394.480000000339;394.48;8.592509294941506E-13;1000
f1_3_2_RS-1000-1;-247.10133894410524;-247.11;3.505000882125204E-5;1000
f1_3_2_GD-1000-1-1.0E-5;-247.10999999994996;-247.11;2.0254392904757607E-13;13
f1_3_2_NGD-1000-1-1-1.0E-5;-247.10999999995005;-247.11;2.0219887976470113E-13;13
f1_3_2_NSGA2-10-1-1-1000;-205.70507805677892;-247.11;0.1828778410865077;1001
f1_3_2_NSGA2-10-1-1000-100-0.2;-247.1073403840807;-247.11;1.0762940520300597E-5;1001
f1_3_2_GBPSO-100-10;-247.10999999919463;-247.11;3.259220509613819E-12;1000
f1_4_2_RS-1000-1;-151.9938125065208;-152.04;3.038312949365802E-4;1000
f1_4_2_GD-1000-1-1.0E-5;-152.03999999995;-152.04;3.288199611160804E-13;13
f1_4_2_NGD-1000-1-1-1.0E-5;-152.03999999995003;-152.04;3.286330253792322E-13;13
f1_4_2_NSGA2-10-1-1-1000;-135.73097227643913;-152.04;0.11334727470631784;1001
f1_4_2_NSGA2-10-1-1000-100-0.2;-151.30178134162094;-152.04;0.004867240214084974;1001
f1_4_2_GBPSO-100-10;-152.03999999992303;-152.04;5.062219753851193E-13;1000
f1_5_2_RS-1000-1;-25.19215325250797;-25.25;0.002293587555727616;1000
f1_5_2_GD-1000-1-1.0E-5;-25.24999999995;-25.25;1.9802333590292183E-12;13
f1_5_2_NGD-1000-1-1-1.0E-5;-25.24999999995;-25.25;1.9802333590292183E-12;13
f1_5_2_NSGA2-10-1-1-1000;35.22224185709955;-25.25;2.0;1001
f1_5_2_NSGA2-10-1-1000-100-0.2;-25.023691926056333;-25.25;0.009003041760948278;1001
f1_5_2_GBPSO-100-10;-25.249999999852495;-25.25;5.841786900219756E-12;1000
f2_1_2_RS-1000-1;-186.4158013277176;-209.88;0.11841759914523366;1000
f2_1_2_GD-1000-1-1.0E-5;-208.20653791430678;-209.88;0.008005338292122759;97
f2_1_2_NGD-1000-1-1-1.0E-5;-209.87305905996573;-209.88;3.30715399659669E-5;109
f2_1_2_NSGA2-10-1-1-1000;6540986.711003593;-209.88;2.0;1001
f2_1_2_NSGA2-10-1-1000-100-0.2;-181.67384222014826;-209.88;0.1440729459832144;1001
f2_1_2_GBPSO-100-10;-209.87949876761917;-209.88;2.388188390251613E-6;1000
f2_2_2_RS-1000-1;-84.69403985969095;-92.09;0.08367226075588097;1000
f2_2_2_GD-1000-1-1.0E-5;-91.64949577759906;-92.09;0.004794877884438509;100
f2_2_2_NGD-1000-1-1-1.0E-5;-92.08998069056861;-92.09;2.0968002409249173E-7;157
f2_2_2_NSGA2-10-1-1-1000;1.7946375146102693E7;-92.09;2.0;1001
f2_2_2_NSGA2-10-1-1000-100-0.2;11304.909336317713;-92.09;2.0;1001
f2_2_2_GBPSO-100-10;-92.08981851869828;-92.09;1.970696932844763E-6;1000
f2_3_2_RS-1000-1;99.47279774818908;-87.89;2.0;1000
f2_3_2_GD-1000-1-1.0E-5;-87.83299645040731;-87.89;6.487887270779682E-4;115
f2_3_2_NGD-1000-1-1-1.0E-5;-85.97242586427893;-87.89;0.022058522722074193;118
f2_3_2_NSGA2-10-1-1-1000;3086.4182673188266;-87.89;2.0;1001
f2_3_2_NSGA2-10-1-1000-100-0.2;381125.8507412721;-87.89;2.0;1001
f2_3_2_GBPSO-100-10;-87.88849228544312;-87.89;1.7154710309282257E-5;1000
f2_4_2_RS-1000-1;321.9934221855482;320.19;0.00561653298184056;1000
f2_4_2_GD-1000-1-1.0E-5;320.35662263270217;320.19;5.202513816007283E-4;115
f2_4_2_NGD-1000-1-1-1.0E-5;320.7039085058115;320.19;0.0016037241078157454;121
f2_4_2_NSGA2-10-1-1-1000;5980.711944646885;320.19;1.7967338626673748;1001
f2_4_2_NSGA2-10-1-1000-100-0.2;331.23840952360115;320.19;0.033920563985476195;1001
f2_4_2_GBPSO-100-10;320.1901130553261;320.19;3.5308818556841467E-7;1000
f2_5_2_RS-1000-1;-93.5099220043733;-104.24;0.1085216913045296;1000
f2_5_2_GD-1000-1-1.0E-5;-104.07398390445967;-104.24;0.0015939025544868795;142
f2_5_2_NGD-1000-1-1-1.0E-5;-104.23997019847918;-104.24;2.858933717407222E-7;211
f2_5_2_NSGA2-10-1-1-1000;63500.29863010282;-104.24;2.0;1001
f2_5_2_NSGA2-10-1-1000-100-0.2;-85.98176028665256;-104.24;0.19196793979651314;1001
f2_5_2_GBPSO-100-10;-104.23999357437295;-104.24;6.164262516459791E-8;1000
f3_1_2_RS-1000-1;-456.45542722323415;-462.09;0.012268468406182488;1000
f3_1_2_GD-1000-1-1.0E-5;-457.11520970302786;-462.09;0.010824112492964106;61
f3_1_2_NGD-1000-1-1-1.0E-5;-436.22131794538797;-462.09;0.057594024561059075;97
f3_1_2_NSGA2-10-1-1-1000;-237.36795622407044;-462.09;0.6425605478535443;1001
f3_1_2_NSGA2-10-1-1000-100-0.2;-421.40734093640407;-462.09;0.09209458179121861;1001
